name;review;rating;polaridad
Carters Animal Frame, Pink Elephant;Cute picture frame. I used it as part of the decoration at a baby shower and it was well received.;4;1
Fisher-Price Zen Collection Cradle Swing;"This is a beautiful swing; everyone that comes in our home comments on it. It also works very well (we have had it for about a month and have had no problems), is extremely well constructed, and is easy to maneuver. It was somewhat difficult for my husband to put together, but he's not very mechanically inclined. I'm sure it's no difficult to put together than any other swing. The a/c adapter to plug the swing in is a tremendous bonus. We had a similar but battery-operated swing for our first child, which she LOVED, but it KILLED us on batteries. They just didn't last long, and were so expensive to keep replacing. I LOVE that we can just plug this one in. And, it has the option to use batteries if you don't want to or can't plug it in. I also like the options to switch back & forth from cradle or traditional swing motion, as well as to remove the swing/cradle portion and place it on the floor as a stationary seat. Very convenient. And, I like the built-in blanket-cover; no need to put a blanket on the baby! Oh, and the cover is easily removable and machine washable. Added bonuses. The music/ sound effects are pleasant and tranquil (not annoying, like some!), and there are plenty of volume and swing speed options.The only thing I don't love about this swing is the mobile. It's cute, but not very stimulating for baby. It does't move on its one, and the colors are drab. Also, the little Asian-inspired cones that hang over the animal figures hide their shape, so you can't even really see what they are. Not the greatest design. Other than that, this swing is fantastic. I would definitely recommend buying it.";4;1
Chicco Liteway Stroller, Fuego;We bought this stroller last year when going to Disney World and it was a great purchase. It is lightweight, collapses well and is comfortable. One of the key differentiators between this stroller and others is that this one reclines fully so if your little one falls asleep it is easy to let them rest in it. The shade canopy could be larger but overall I was very pleased with this stroller.;5;1
Contours Options Tandem Stroller, Ruby;It's very easy to push and has a ton of storage. The kids love being able to face each other. and I love that they can entertain each other while I'm shopping!;5;1
The First Years Disney Pixar Cars  Rev and Go Potty System;This potty leaks all over - it is awful.  Everytime my son uses the potty it leaks all over the floor - save your money and buy a single one piece potty.;1;0
"Baby Jogger Black Parent Console for Mini Single &amp; Double Strollers";This is overpriced in my opinion- velcro is loud and only one drink holder- the sunshine kids one is less than half the price and is one large open space with opitions fo two or more drinks, or you can push them to the side if you need to put in larger items.;2;0
Evenflo Crosstown Soft Portable Travel Gate;"Nearly every one we had must have been defective. The frames bent easily and stayed bent (and yes, I know the sides are supposed to bend and then snap into position but it was more than that...they stayed bent).Also, if you put this up, plan on keeping it up. I would describe this more as a permanent solution rather than an ""easy to remove and put up"" travel gate. From the reviews here, it is clear that some people love this but it just didn't work for our lifestyle.Pre-tested before baby came as well as with a friend's baby. Totally frustrating and we followed the directions perfectly. As others have noted, the directions are not easy to follow and you have to practice to understand how to get this to work. Even so, after extending the top and bottom sides, placing the gate on the floor (a required step according to manufacturer instructions) and then locking it in place, we were extremely...well, grumpy. Further practice didn't make things any better. I would never use this as a portable baby gate!Uh-uh. Looking for something simpler. I would avoid using this after going through so many steps each time! Again, for a permanent or long-term gate (for crawlers to first walkers), this might work...as a travel gate, nope...not from what I experienced.";2;0
Tadpoles 21 Sq Ft Puzzle Pieces Playmat Set, Pink/Brown;"This playmat DOES NOT COVER 21 sq ft. It was such a ripoff; it barely covers 16 sq ft. I needed to cover a larger area and was very angry when I set it down, but could not return it because I opened it. Very unhappy.";1;0
Carseat Canopy - The Whole Caboodle 5PC set - Baby Infant Car Seat Cover with complete matching set of accessories (Knott);The package only contained the Car Seat Canopy outer but non of the other parts that are promised in this page. Very disappointing experience.;1;0
Hoppop Toro Potty, Lime;I like the idea of this potty because it's small and simple.  However, it can be difficult for kids to use because if they don't sit on it exactly the right way, it's uncomfortable.  The pieces also come apart too easily so I get frustrated with having to fix it often, and my daughter has been pinched twice.  A potty that can hurt isn't a good idea.  I wonder if the donut from Hoppop might work better, but I got this one since it looked taller.;2;0
Star Wars Bed;I had the same problem with my credit card and gift card being charged with the same purchase.Amazon insisted that is not what happened, but I have my credit card receipt and the balance on my gift card is lower by the same amount.Whats up with that?And I too spoke with someone that had an accent that I could barely understand.;1;0
Inglesina 2012 Zuma White Highchair, Light Blue;I really have never written a scathing review before and I really wanted to like the 2012 Inglesina Zuma White Highchair, but my wife has really let me know on a daily basis how unhappy she is with it.  We have twins, so we purchased two of them!  The price was pretty good, and the quality seemed like it was constructed well. We really were taken in by the looks and style and it matched our kitchen. The engineering is just dreadful.1. The maneuverability is difficult because it's an awkward design with the extended legs. You just can move it quickly or easily.2. Setting it up and storing it takes several steps and one of them sometimes requires repeating over an over because of an internal latch mechanism that doesn't always release. It's a real pain.3. Cleaning the seats is a chore because you have to remove the straps and speaking of straps...4. Straps are a magnet to babies and these are very long and floppy. We had to use Velcro straps to keep the kids from sucking on them. Also, it would be nice to have a padded shoulder strap so it would prevent the strap from sometimes cutting into the child's neck.5. Cracks everywhere!! The top tray and sides are designed in such a way that food will get into every nook and cranny. This drives my wife nuts!We could never recommend this highchair to anyone because it costs too much money to have all of these issues.This is only our opinion and you may not care about any of these things. It's a really cool looking highchair!;2;0
2 Tubing for Medela Pump in Style and New Pump in Style Advanced Breast Pump - 100% BPA Free, and Medela Compatible. Replacement Parts for Medela Tubing Part # 87212, 8007212;does not it .. to my pump wrong choice...and cheap quality.........my pumps knob broke while fixing it on the pump;2;0
Withings Smart Baby Monitor, White;I really wanted to like this, I even ignored the other reviews hoping that they were wrong. I really wish I hadn't - I was so disappointed! I tried to set it up and couldn't even get past the startup on my phone. The monitor wasn't recognized by my iPhone or my husband's iPad or droid phone. We tried several times before we eventually gave up. I can't have a baby monitor that is SO unreliable (especially one that I spent $300 on). Save yourself the time and aggravation and find another baby monitor.;1;0
"VTech Communications Safe &amp; Sound Digital Audio Monitor with two Parent Units";It was fine for almost a year, but suddenly you can't read the screen - it just looks like a jumble.;1;0
Skip Hop Bath Spout Cover, Moby;This whale is cute but it just sort of balances on the faucet. You can't get a tight fit even with the adjustable fins, so even a gentle touch from curious hands makes it fall off. Defeats the purpose entirely.;1;0
The First Years Night and Day Bottle Warmer System;Inconsistency in temperature. Too bulky to bring out.. the handles comes off when carried.  I've used this everyday for the past 7 months.. Wish I got something smaller, so I can carry outside and use.;2;0
"Safety 1st Cling Sunshade 21&quot; wide - 2 Pack";If you want to buy a piece of plastic.. this one will work. It looks horrible, on mine it looks like someone used scissors to cut it out as it is not straight. It will block the sun and for the price it works ok. It is a little more difficult to get to stay up without bubbles compared to similar products... It just looks really bad.;1;0
Peace of Mind Two 900 Mhz Baby Receivers, Monitor;"We thought we were paying for a good monitor, but have had problems with regular static, clicking at odd times, and a loud continual noise when the phone rings or when you place a call. Other than that, you can hear every movement and breath the baby takes. I have read reviews on other brands found customers who bought less expensive monitors that work without these problems. As a mother who is trying to get some sleep while keep an ear out for your child the last thing I want to do is battle the monitor to find the &quot;right&quot; position for it to function properly.I am trading ours in.";2;0
Go Mama Go Designs Snug and Tug Swaddling Blanket, Large, Green;The way this product is designed makes it very difficult to swaddle a squirmy baby. Even Go Mama Go Designs' own product demo video on their website shows the spokeswoman having trouble with it. To use it you have to:1) Open a pouch and place the baby inside up to his/her neck.2) Get the pouch closed while keeping baby's arms inside of it (no small task!).3) Thread one wing around the pouch and through a slit in the swaddler. Still while keeping baby's arms inside the darn thing.4) Wrap the threaded wing beneath the baby and fasten the velcro on baby's back. While baby fights to free his/her arms.5) Wrap the other wing all the way around the baby and fasten the velcro on baby's front.And that's if you can even line up the velcro where it belongs. I picked this up because the product features said it fit babies from 14-28 pounds (though when I received the product, it claims to work only for 14-22 pound babies). My baby was 16 pounds 10 ounces at the time, so it should have fit well. But it's way too large to get a good, tight swaddle. Once I get it tight enough to keep my baby swaddled properly, the velcro tabs are pulled far beyond the areas where their closures reside. So the second baby moves even the slightest bit, the wings come loose because there's nothing to fasten them to. I'm hoping it will work better for us once my baby is larger.The one use I do have for this product now is on cold nights. I use this over a Summer Infant SwaddleMeSummer Infant Swaddleme Microfleece, Blue, Largeto help keep my baby warm. And since the pouch on the Snug and Tug goes up to his neck, he can't get his hands completely out like he can with the SwaddleMe alone (that product opens at the waist, letting roaming hands free easily).;2;0
